"No.","Time","Source","Destination","Protocol","Length","Info"
"2045","9.191326","192.168.50.100","192.168.50.1","DNS","72","Standard query 0x767c A www.bing.com"
"2061","9.202592","192.168.50.100","192.168.50.1","DNS","72","Standard query 0xbc67 A www.bing.com"
"2116","9.245442","192.168.50.1","192.168.50.100","DNS","184","Standard query response 0x767c A www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME china.bing123.com A 202.89.233.101 A 202.89.233.100"
"2117","9.245442","192.168.50.1","192.168.50.100","DNS","184","Standard query response 0xbc67 A www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME china.bing123.com A 202.89.233.101 A 202.89.233.100"
"2621","11.056113","192.168.50.100","192.168.50.1","DNS","84","Standard query 0x99ff A ipv6.msftconnecttest.com"
"2624","11.089644","192.168.50.100","192.168.50.1","DNS","84","Standard query 0x484f A ipv6.msftconnecttest.com"
"2649","11.109036","192.168.50.1","192.168.50.100","DNS","288","Standard query response 0x99ff A ipv6.msftconnecttest.com CNAME ncsiv6-geo.trafficmanager.net CNAME ipv6.msftconnecttest.com.edgesuite.net CNAME a1968.i6g1.akamai.net SOA n0i6g1.akamai.net"
"2650","11.109036","192.168.50.1","192.168.50.100","DNS","288","Standard query response 0x484f A ipv6.msftconnecttest.com CNAME ncsiv6-geo.trafficmanager.net CNAME ipv6.msftconnecttest.com.edgesuite.net CNAME a1968.i6g1.akamai.net SOA n0i6g1.akamai.net"
"2688","11.145295","192.168.50.100","192.168.50.1","DNS","83","Standard query 0x988f A www.msftconnecttest.com"
"2690","11.145983","192.168.50.1","192.168.50.100","DNS","233","Standard query response 0x988f A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 23.210.216.71 A 23.210.216.90"
"2695","11.148451","192.168.50.100","192.168.50.1","DNS","83","Standard query 0x9e05 A www.msftconnecttest.com"
"2696","11.149128","192.168.50.1","192.168.50.100","DNS","233","Standard query response 0x9e05 A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 23.210.216.90 A 23.210.216.71"
"2705","11.156884","192.168.50.100","192.168.50.1","DNS","83","Standard query 0x416c A www.msftconnecttest.com"
"2706","11.157653","192.168.50.1","192.168.50.100","DNS","233","Standard query response 0x416c A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 23.210.216.71 A 23.210.216.90"
